Contract Address,Discord ID,Discord Display Name
0x333DbFE68D19C673553C9deD4022aaF61FA5dC43,,
0x88e3244752920AD27a1238B643b01D04dC369ba5,,
0xd205033b6971F419261a92A6889d57449dd3B668,,
0x74BF0c24935752Ecdb6CddF7044380F25B05fAf1,,
0x2bc477a7Fa30829Ce4ec162BeB60734274cC32b6,,
0x55bf31f3c08d3e06B6632D205C974CDbdF8E63FB,,
0x8C2aA88914c28E26586999c1791B07eCdA04a415,,
0x339399B830383C94f76343CBA6d2465BBdEFf4e4,,
0xb3924EcF19c2ef7fB7cE3ecDDD22ec96C77a3f64,,
0x8E0E466509687d86dC50dCDbc42142D3530CCc29,,
0xd2971EF680095C8082BbFA7E45BC0d6224Cf20f6,,
0x3F4e54Eb00f833f2E8143676A8721Df14D95bD6f,,
0x693549c881b2d80a2743b25d55F5a1D61f2b80d5,,
0xB683ea632Db3Be49336928B3c3D197a9BFe3a2f2,,
0x6E272f68B54aea816799FAC75b870f42Aa84BB60,,
0x21d37ceb9E293d5955Acc182C537ae4b59ed1CC1,,
0x31Eb44651F37eEe6e9Cb1E408c03a86CA7Ac6C55,,
0xDFabEce9789833f722113727fe49360b14d815d4,,
0xa0Bd5C3838342961e09dc2225C340F4A1818aB6D,,
0xAdFAa4929F0bB544503D322f412EE81B7073b466,,
0x345519d4A5D56Db069f53Eb585D4f6a6Abc7473D,,
0xE6527edCeC7464f9a6FA0E7Bd38aFdD216C63dD1,,
0x12Af4675299E0e72D12695fA9c7d9e3195D32380,,
0x48D9742aF29eB0805cA5402a37B6C21B48491b13,,
0xb4D133c96D8833ea8A2275a1C0Ce6D2204661624,,
0x1Ee5312803a3fABdFD673e51Ad9eb4E6d648584d,,
0x1D0f857271AbA5f97aB9DC189133E31e2a0526fa,,
0xA2a12dBacB94c47628ABf040A9Ec87D2eb7a2857,,
0x092d79FdD0bC17d70863eB2206eDDE5a0Bfdb997,,
0x0DCd45892694F734A7035aaC6A3F64A8ed30F4cd,,
0x024A2612972BCFA7011b862fF0506fE1187C983B,,
0xBba923e2Ed47345c00621B2ec19c39d97B2Fd4ad,,
0xA64E6A0885667A9C21de862c830Ad688C185AC6e,,Mehh#0620
0xBCff67496D1aB1557d9B7b3D227076D52279d9A1,,oranoran#1262
0x5deb684D90D8751a39C43dB733611057dA7089b5,,yolondawago6#4250
0x254dd957E31CCDeab0B28Ca67550eF998B74C540,,stemywellington#3599
0x7f30C17B81A75abcb473c165162DdA8B0c5B04fB,,Cideeer#0010
0xFaa2B0009AB2f17e95e664F8f9f0Cc8946507332,,raspPi#7029
0x2e82494083D823173249D67e3b7BdAd17425e028,,MadKraken#0355
0x4bd06AB2a2134044ADaACA577178530Ef53E51F1,,Pinkduck#3173
0xbF66030C5B6BF2D957c780F4b0813fbce10b115e,,Pylynn#0789
0x632D3D09b30468a9a767cd30d587fFFDA0f0EA26,,MoonDancer#0419
0xfcc8A8D375FdC0839e7E00AeD21cb05CaDeF1014,,Stones#2223
0x2Da791359933011B4F74042a241Fbbf09F6CBcAB,,AaronJ#5685
0x67A1B608E1080815911C394997a88740e196C198,,Aaron2022#1617
0x67d1E8E60c0AB0f475f66bc6c3e4c90c5276026E,,chacapFoma#4350
0x663b338f3EE60E2750b3C0d6523630351D7317bA,,madebysohe#5916
0x0fF24e2659a600fE348C11B26409cA3dC5797cc4,,wikiwiki#6505
0xc36CE23BF539c09421798542ACc50f385A9700B2,,Rain#0013
0xe9d18037d8602494B9EE1D480DC59DF90DF57CF3,,Raindrop#7084
0x6c2227158C65870FF346287CBd123cB840Cdd62d,,LIVE#1270
0xdb19ED87D040Cf1a2d2538056d40e01FBE289528,,sherry#2460
0xBCb6ED889054bB5cB4C71d63b3b32F7d2659C19A,,MAC#3418
0xb51667DDAffDBE32e676704A0CA280Ea19eb342B,,Quarisma#9546
0x0403E1A20EfdbDa42a9261E1Badd5B25fDd9c83f,,Pooperscooper#7234
0x90f87Ac971868FF3d0Ed983cfe0950fdAe03EE78,,ichigo#9774
0xbf8cdbeedd1e5c06c20c60c926c42f5b37ff2a92,,WPS🇧🇷#0070
0x8c527879a68D242c1ccA8D23409d8Fd75324AC3A,,Ronniedobbs#1484
0x8E467BA8bA7f2ad2d45d1b9Dc91A4e7A6d457ba4,,(α) breadcheeks 🍞#1812
0x98C0a14de379aEBa258FB11e83bE73ad5AaF4d14,,puta0x#4952
0x6008be79D74b1974d177a01e67Bf9F7E3dD6a6C5,,mangomango#4492
0x1bAfF971123e07c2312004a6bD519Fa33085450D,,Jcchuang#8987
0x8209A0f91fE84e756A624F079e51E9E29fDC252a,,Sneer77#9396
0xe56C997Eb15E5d012fac2a09ad24b48Ca4DCA820,,w3wgm#5702
0xdcF2e719edD8E90DcBa981161f62a1667c68a5a8,,samipersun#0001
0x318C966cF05531f682ce7CBE39B831DcE000f45c,,Sangados#4235
0xa1163cbF7c3Cca1a1014a2310BE3d6A09b95eF5a,,wolfieboy21#8957
0x0E380166b57b0095fF3158Ce637A72Ba03C7d7FA,,Diablo 👑💎#0680
0x8440cc32891ae045de2016a7f1c38012f41909e5,,Rankedskywar#0001
0xdEe3CCcE48205c662990B0a6cA664e6c5daeb2Ee,,xMikey#8394
0xEf26f19fE14968DfA9EC6893056B6aC460D93314,,MitMoni#7727
0xED952771F20bb026Cc17ADDf9bb0CF8BeB589Cf5,,munkin#5448
